"Offence","Canton","Level of completion","Level of detection","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Unauthorised access to a data processing system (Art. 143bis)","St. Gallen","Level of completion - total","Level of detection - total",3,11,7,8,10,9,12,29,16,25,22,31
"Unauthorised access to a data processing system (Art. 143bis)","Graub�nden / Grigioni / Grischun","Level of completion - total","Level of detection - total",1,3,3,3,6,1,4,3,2,7,16,8
"Unauthorised access to a data processing system (Art. 143bis)","Aargau","Level of completion - total","Level of detection - total",11,11,15,11,17,21,18,20,26,88,47,56
"Unauthorised access to a data processing system (Art. 143bis)","Thurgau","Level of completion - total","Level of detection - total",0,5,4,7,4,5,6,7,6,10,11,21
"Unauthorised access to a data processing system (Art. 143bis)","Ticino","Level of completion - total","Level of detection - total",7,5,6,6,7,16,19,27,23,18,15,17
"Unauthorised access to a data processing system (Art. 143bis)","Vaud","Level of completion - total","Level of detection - total",14,13,13,43,24,47,43,19,33,36,59,70
"Unauthorised access to a data processing system (Art. 143bis)","Valais / Wallis","Level of completion - total","Level of detection - total",2,5,5,5,5,11,8,11,3,13,6,17
"Unauthorised access to a data processing system (Art. 143bis)","Neuch�tel","Level of completion - total","Level of detection - total",2,1,3,8,12,10,11,11,18,23,18,15
"Unauthorised access to a data processing system (Art. 143bis)","Gen�ve","Level of completion - total","Level of detection - total",13,26,20,20,41,18,28,18,15,15,8,20
"Unauthorised access to a data processing system (Art. 143bis)","Jura","Level of completion - total","Level of detection - total",0,0,4,0,2,0,0,3,2,6,6,0
"Damage to data (Art. 144bis)","Switzerland","Level of completion - total","Level of detection - total",49,73,97,191,369,203,213,304,289,598,435,527
"Damage to data (Art. 144bis)","Z�rich","Level of completion - total","Level of detection - total",13,25,29,45,76,47,57,64,108,336,172,229
"Damage to data (Art. 144bis)","Bern / Berne","Level of completion - total","Level of detection - total",2,2,9,31,153,72,58,110,68,79,54,47
"Damage to data (Art. 144bis)","Luzern","Level of completion - total","Level of detection - total",1,1,0,5,4,2,2,9,11,12,6,9
"Damage to data (Art. 144bis)","Uri","Level of completion - total","Level of detection - total",0,0,0,0,0,0,0,0,0,1,3,0
"Damage to data (Art. 144bis)","Schwyz","Level of completion - total","Level of detection - total",0,2,0,1,0,0,1,4,4,5,9,8
"Damage to data (Art. 144bis)","Obwalden","Level of completion - total","Level of detection - total",0,2,0,2,1,0,3,7,3,8,7,3
"Damage to data (Art. 144bis)","Nidwalden","Level of completion - total","Level of detection - total",0,0,0,0,0,0,1,5,4,3,0,1
"Damage to data (Art. 144bis)","Glarus","Level of completion - total","Level of detection - total",1,0,0,1,1,0,0,0,0,0,0,0
"Damage to data (Art. 144bis)","Zug","Level of completion - total","Level of detection - total",1,1,2,12,5,4,0,2,4,2,11,8
"Damage to data (Art. 144bis)","Fribourg / Freiburg","Level of completion - total","Level of detection - total",3,9,9,23,44,14,13,29,9,18,18,16
"Damage to data (Art. 144bis)","Solothurn","Level of completion - total","Level of detection - total",1,2,1,3,3,6,6,7,2,6,6,17
"Damage to data (Art. 144bis)","Basel-Stadt","Level of completion - total","Level of detection - total",3,1,9,23,6,6,6,7,8,9,1,10
"Damage to data (Art. 144bis)","Basel-Landschaft","Level of completion - total","Level of detection - total",0,0,3,2,6,1,0,3,4,4,6,11
"Damage to data (Art. 144bis)","Schaffhausen","Level of completion - total","Level of detection - total",0,0,0,2,4,3,1,2,2,4,7,7
"Damage to data (Art. 144bis)","Appenzell Ausserrhoden","Level of completion - total","Level of detection - total",1,0,0,0,20,2,0,0,4,2,4,5
"Damage to data (Art. 144bis)","Appenzell Innerrhoden","Level of completion - total","Level of detection - total",0,0,0,0,4,2,0,0,0,0,1,2
"Damage to data (Art. 144bis)","St. Gallen","Level of completion - total","Level of detection - total",1,4,5,6,5,6,7,12,11,18,18,16
"Damage to data (Art. 144bis)","Graub�nden / Grigioni / Grischun","Level of completion - total","Level of detection - total",1,1,4,3,3,2,8,3,7,7,11,8
"Damage to data (Art. 144bis)","Aargau","Level of completion - total","Level of detection - total",7,7,6,10,11,9,11,9,6,37,46,52
"Damage to data (Art. 144bis)","Thurgau","Level of completion - total","Level of detection - total",1,1,1,1,3,1,0,6,1,6,2,11
"Damage to data (Art. 144bis)","Ticino","Level of completion - total","Level of detection - total",6,4,7,9,5,6,18,9,14,7,4,11
"Damage to data (Art. 144bis)","Vaud","Level of completion - total","Level of detection - total",1,1,3,3,1,4,9,3,8,23,34,38
"Damage to data (Art. 144bis)","Valais / Wallis","Level of completion - total","Level of detection - total",1,1,1,3,6,11,3,4,0,3,5,6
"Damage to data (Art. 144bis)","Neuch�tel","Level of completion - total","Level of detection - total",1,1,1,0,0,4,5,4,2,1,1,2
"Damage to data (Art. 144bis)","Gen�ve","Level of completion - total","Level of detection - total",4,8,7,6,6,1,4,4,9,7,9,10
"Damage to data (Art. 144bis)","Jura","Level of completion - total","Level of detection - total",0,0,0,0,2,0,0,1,0,0,0,0
"Computer fraud (Art. 147)","Switzerland","Level of completion - total","Level of detection - total",4688,4606,5520,6323,5559,4219,4370,4788,4956,5583,6181,6798
"Computer fraud (Art. 147)","Z�rich","Level of completion - total","Level of detection - total",1429,1263,1057,1394,1145,830,851,1015,1273,1424,1433,1696
"Computer fraud (Art. 147)","Bern / Berne","Level of completion - total","Level of detection - total",412,460,609,605,537,429,477,437,516,656,864,962
"Computer fraud (Art. 147)","Luzern","Level of completion - total","Level of detection - total",352,243,237,271,229,230,231,246,304,241,327,519
"Computer fraud (Art. 147)","Uri","Level of completion - total","Level of detection - total",7,6,8,5,11,3,2,2,4,6,9,7
"Computer fraud (Art. 147)","Schwyz","Level of completion - total","Level of detection - total",45,45,60,54,56,43,39,40,40,51,60,70
"Computer fraud (Art. 147)","Obwalden","Level of completion - total","Level of detection - total",16,10,6,9,5,12,6,6,14,14,13,22
"Computer fraud (Art. 147)","Nidwalden","Level of completion - total","Level of detection - total",9,11,12,15,12,13,18,5,17,15,16,14
"Computer fraud (Art. 147)","Glarus","Level of completion - total","Level of detection - total",9,13,9,10,4,10,14,8,4,10,6,17
